configuration,query_type,metric,value,k,latency_seconds
Pure_Sparse_BM25,comparative,mrr,0.6732539847008333,5,0.0758022007038784
Pure_Sparse_BM25,comparative,hit_rate@k,0.7981849682469255,5,0.0758022007038784
Pure_Sparse_BM25,comparative,ndcg@k,0.6168448205128294,5,0.0758022007038784
Pure_Sparse_BM25,procedural,precision@k,0.6179369993643326,5,0.08365146157778977
Pure_Sparse_BM25,procedural,recall@k,0.6576562270506935,5,0.08365146157778977
Pure_Sparse_BM25,procedural,f1@k,0.6173004443528962,5,0.08365146157778977
Pure_Sparse_BM25,procedural,mrr,0.6858794858725743,5,0.08365146157778977
Pure_Sparse_BM25,procedural,hit_rate@k,0.8013568186673161,5,0.08365146157778977
Pure_Sparse_BM25,procedural,ndcg@k,0.629759909922898,5,0.08365146157778977
Balanced_Hybrid_0.5,all,precision@k,0.7394338644844741,5,0.1752401927778931
Balanced_Hybrid_0.5,all,recall@k,0.7735674515886948,5,0.1752401927778931
Balanced_Hybrid_0.5,all,f1@k,0.7809105596681228,5,0.1752401927778931
Balanced_Hybrid_0.5,all,mrr,0.8078376663346796,5,0.1752401927778931
Balanced_Hybrid_0.5,all,hit_rate@k,0.9240467254843691,5,0.1752401927778931
Balanced_Hybrid_0.5,all,ndcg@k,0.7771348041579125,5,0.1752401927778931
Balanced_Hybrid_0.5,factual,precision@k,0.7842277267492429,5,0.18476300990136887
Balanced_Hybrid_0.5,factual,recall@k,0.8440659094226213,5,0.18476300990136887
Balanced_Hybrid_0.5,factual,f1@k,0.8017102035209196,5,0.18476300990136887
Balanced_Hybrid_0.5,factual,mrr,0.8796066080980156,5,0.18476300990136887
Balanced_Hybrid_0.5,factual,hit_rate@k,0.9931673430788999,5,0.18476300990136887
Balanced_Hybrid_0.5,factual,ndcg@k,0.8159614704460252,5,0.18476300990136887
Balanced_Hybrid_0.5,listing,precision@k,0.7501656635137081,5,0.1848070695873922
Balanced_Hybrid_0.5,listing,recall@k,0.814463842853645,5,0.1848070695873922
Balanced_Hybrid_0.5,listing,f1@k,0.790679404525955,5,0.1848070695873922
Balanced_Hybrid_0.5,listing,mrr,0.8418702150412297,5,0.1848070695873922
Balanced_Hybrid_0.5,listing,hit_rate@k,0.9631381104005784,5,0.1848070695873922
Balanced_Hybrid_0.5,listing,ndcg@k,0.7822213395520228,5,0.1848070695873922
Balanced_Hybrid_0.5,comparative,precision@k,0.7007539718563282,5,0.1812878886266913
Balanced_Hybrid_0.5,comparative,recall@k,0.7334760717857539,5,0.1812878886266913
Balanced_Hybrid_0.5,comparative,f1@k,0.7353667869867941,5,0.1812878886266913
Balanced_Hybrid_0.5,comparative,mrr,0.7786989438048267,5,0.1812878886266913
Balanced_Hybrid_0.5,comparative,hit_rate@k,0.8899269407455795,5,0.1812878886266913
Balanced_Hybrid_0.5,comparative,ndcg@k,0.7219067505085807,5,0.1812878886266913
Balanced_Hybrid_0.5,procedural,precision@k,0.7293294696514698,5,0.1652504317219587
Balanced_Hybrid_0.5,procedural,recall@k,0.7697554996608025,5,0.1652504317219587
Balanced_Hybrid_0.5,procedural,f1@k,0.7613618695606683,5,0.1652504317219587
Balanced_Hybrid_0.5,procedural,mrr,0.8091267241406565,5,0.1652504317219587
Balanced_Hybrid_0.5,procedural,hit_rate@k,0.9366163822772898,5,0.1652504317219587
Balanced_Hybrid_0.5,procedural,ndcg@k,0.7641664477548585,5,0.1652504317219587
Dense_Heavy_0.7,all,precision@k,0.7459797122969151,5,0.17072967985885562
Dense_Heavy_0.7,all,recall@k,0.8056622393611498,5,0.17072967985885562
Dense_Heavy_0.7,all,f1@k,0.7927489298501998,5,0.17072967985885562
Dense_Heavy_0.7,all,mrr,0.8380638598784748,5,0.17072967985885562
Dense_Heavy_0.7,all,hit_rate@k,0.958548358997728,5,0.17072967985885562
Dense_Heavy_0.7,all,ndcg@k,0.7946897798182195,5,0.17072967985885562
Dense_Heavy_0.7,factual,precision@k,0.8156819848814598,5,0.15426496207909554
Dense_Heavy_0.7,factual,recall@k,0.8428262305507566,5,0.15426496207909554
Dense_Heavy_0.7,factual,f1@k,0.8154722512216779,5,0.15426496207909554
Dense_Heavy_0.7,factual,mrr,0.8732367428097991,5,0.15426496207909554
Dense_Heavy_0.7,factual,hit_rate@k,0.980942875570602,5,0.15426496207909554
Dense_Heavy_0.7,factual,ndcg@k,0.8490923123379135,5,0.15426496207909554
Dense_Heavy_0.7,listing,precision@k,0.7794306794322898,5,0.14996859233279533
Dense_Heavy_0.7,listing,recall@k,0.8152571207349412,5,0.14996859233279533
Dense_Heavy_0.7,listing,f1@k,0.8119366716371377,5,0.14996859233279533
Dense_Heavy_0.7,listing,mrr,0.8474787668744662,5,0.14996859233279533
Dense_Heavy_0.7,listing,hit_rate@k,0.9623114876910689,5,0.14996859233279533
Dense_Heavy_0.7,listing,ndcg@k,0.8226665341562915,5,0.14996859233279533
Dense_Heavy_0.7,comparative,precision@k,0.7168639449647487,5,0.14530480452975245
Dense_Heavy_0.7,comparative,recall@k,0.7423093972948638,5,0.14530480452975245
Dense_Heavy_0.7,comparative,f1@k,0.7334022210067679,5,0.14530480452975245
Dense_Heavy_0.7,comparative,mrr,0.7848366386176201,5,0.14530480452975245
Dense_Heavy_0.7,comparative,hit_rate@k,0.9178909295702771,5,0.14530480452975245
Dense_Heavy_0.7,comparative,ndcg@k,0.7642436113869325,5,0.14530480452975245
Dense_Heavy_0.7,procedural,precision@k,0.7590021126953127,5,0.16290857418202376
Dense_Heavy_0.7,procedural,recall@k,0.7961438177056316,5,0.16290857418202376
Dense_Heavy_0.7,procedural,f1@k,0.7788198397263284,5,0.16290857418202376
Dense_Heavy_0.7,procedural,mrr,0.8155971017665811,5,0.16290857418202376
Dense_Heavy_0.7,procedural,hit_rate@k,0.9467767699546993,5,0.16290857418202376
Dense_Heavy_0.7,procedural,ndcg@k,0.7861802672574696,5,0.16290857418202376
Sparse_Heavy_0.3,all,precision@k,0.7303720077582031,5,0.14497180213158392
Sparse_Heavy_0.3,all,recall@k,0.7648045649961747,5,0.14497180213158392
Sparse_Heavy_0.3,all,f1@k,0.720589828921007,5,0.14497180213158392
Sparse_Heavy_0.3,all,mrr,0.7655025962263838,5,0.14497180213158392
Sparse_Heavy_0.3,all,hit_rate@k,0.9013967581270971,5,0.14497180213158392
Sparse_Heavy_0.3,all,ndcg@k,0.7413553894313129,5,0.14497180213158392
Sparse_Heavy_0.3,factual,precision@k,0.7745404429776748,5,0.12646445920997998
Sparse_Heavy_0.3,factual,recall@k,0.8058219174976904,5,0.12646445920997998
Sparse_Heavy_0.3,factual,f1@k,0.7648982190883495,5,0.12646445920997998
Sparse_Heavy_0.3,factual,mrr,0.8353224190773271,5,0.12646445920997998
Sparse_Heavy_0.3,factual,hit_rate@k,0.9625223300944634,5,0.12646445920997998
Sparse_Heavy_0.3,factual,ndcg@k,0.786663234314122,5,0.12646445920997998
Sparse_Heavy_0.3,listing,precision@k,0.7235959610200104,5,0.1403386056323799
Sparse_Heavy_0.3,listing,recall@k,0.7601284551421088,5,0.1403386056323799
Sparse_Heavy_0.3,listing,f1@k,0.7629769462897894,5,0.1403386056323799
Sparse_Heavy_0.3,listing,mrr,0.7996960879606227,5,0.1403386056323799
Sparse_Heavy_0.3,listing,hit_rate@k,0.935563718652301,5,0.1403386056323799
Sparse_Heavy_0.3,listing,ndcg@k,0.7710905687668553,5,0.1403386056323799
Sparse_Heavy_0.3,comparative,precision@k,0.6709088880713787,5,0.13234188170554229
Sparse_Heavy_0.3,comparative,recall@k,0.7191534624816288,5,0.13234188170554229
Sparse_Heavy_0.3,comparative,f1@k,0.7035630740206771,5,0.13234188170554229
Sparse_Heavy_0.3,comparative,mrr,0.7375534688747609,5,0.13234188170554229
Sparse_Heavy_0.3,comparative,hit_rate@k,0.8749174551767716,5,0.13234188170554229
Sparse_Heavy_0.3,comparative,ndcg@k,0.699026349294503,5,0.13234188170554229
Sparse_Heavy_0.3,procedural,precision@k,0.698545214831324,5,0.14406483813146462
Sparse_Heavy_0.3,procedural,recall@k,0.721106608420636,5,0.14406483813146462
Sparse_Heavy_0.3,procedural,f1@k,0.7229765851918107,5,0.14406483813146462
Sparse_Heavy_0.3,procedural,mrr,0.7750803706968659,5,0.14406483813146462
Sparse_Heavy_0.3,procedural,hit_rate@k,0.8915443625374997,5,0.14406483813146462
Sparse_Heavy_0.3,procedural,ndcg@k,0.7283593939270984,5,0.14406483813146462
